CANNOT chose from супоръ	 to 	супои, сугръ	 distance == 2
CANNOT chose from премостити	 to 	простити, помостити, прелстити	 distance == 2
CANNOT chose from горячь	 to 	боричь, горячий	 distance == 2
CANNOT chose from розгонити	 to 	разгонити, розгоняти	 distance == 1
CANNOT chose from вѣрникъ	 to 	вирникъ, мѣрникъ	 distance == 1
CANNOT chose from подзирати	 to 	прозирати, дозирати	 distance == 2
CANNOT chose from невѣжский	 to 	сѣверский, невеликий	 distance == 2
CANNOT chose from доспѣвати	 to 	вспѣвати, успѣвати	 distance == 2
CANNOT chose from кумъ	 to 	умъ, кусъ, кунъ, куръ, шумъ	 distance == 1
CANNOT chose from угошити	 to 	угонити, угодити	 distance == 1
CANNOT chose from гордъ	 to 	гордый, горий	 distance == 2
CANNOT chose from отполонити	 to 	полонити, отклонити	 distance == 2
CANNOT chose from прохоръ	 to 	проторъ, проходъ	 distance == 1
CANNOT chose from анаданъ	 to 	енданъ, ладанъ, аладинъ	 distance == 2
CANNOT chose from увити	 to 	явити, вити	 distance == 1
CANNOT chose from дщичный	 to 	дивный, длинный, доиный, дщаный, причный	 distance == 2
CANNOT chose from всковати	 to 	исковати, сковати	 distance == 1
CANNOT chose from лаосъ	 to 	лисъ, лось	 distance == 2
CANNOT chose from погарати	 to 	побарати, погашати	 distance == 1
CANNOT chose from клавдий	 to 	славлий, флавий	 distance == 2
CANNOT chose from терентий	 to 	берестий, дементий	 distance == 2
CANNOT chose from хрусипъ	 to 	хрустъ, русинъ	 distance == 2
CANNOT chose from ищезати	 to 	рѣзати, изрѣзати, исчезати, изѣхати	 distance == 2
CANNOT chose from вгрѣшити	 to 	грѣшити, сгрѣшити	 distance == 1
CANNOT chose from туча	 to 	луча, туга	 distance == 1
CANNOT chose from обатѣти	 to 	богатѣти, обертѣти	 distance == 2
CANNOT chose from гинути	 to 	минути, кинути, ринути	 distance == 1
CANNOT chose from поръ	 to 	пиръ, пора	 distance == 1
CANNOT chose from причитати	 to 	прочитати, причетати	 distance == 1
CANNOT chose from кочь	 to 	корь, кошь, ночь, конь	 distance == 1
CANNOT chose from калка	 to 	кашка, камка, палка, галка	 distance == 1
CANNOT chose from вспросити	 to 	впросити, спросити, испросити	 distance == 1
CANNOT chose from свлещи	 to 	влѣщи, сврѣщи	 distance == 1
CANNOT chose from нелѣпота	 to 	лѣпота, слѣпота	 distance == 2
CANNOT chose from сдвакъ	 to 	саванъ, сваръ	 distance == 2
CANNOT chose from калуръ	 to 	каптуръ, калъ, асуръ, канунъ, клубъ, куръ, кафаръ	 distance == 2
CANNOT chose from олекса	 to 	олена, олекъ	 distance == 2
CANNOT chose from небръ	 to 	дебрь, бобръ, ребро, небо	 distance == 2
CANNOT chose from иосѣянинъ	 to 	индѣянинъ, поселянинъ	 distance == 2
CANNOT chose from изборный	 to 	сборный, взорный	 distance == 2
CANNOT chose from городенъ	 to 	городня, груденъ	 distance == 2
CANNOT chose from липовъ	 to 	симовъ, филиповъ, сифовъ, дировъ, лотовъ	 distance == 2
CANNOT chose from разбиение	 to 	разорение, разжжение, разумѣние	 distance == 2
CANNOT chose from дудимъ	 to 	пудикъ, радимъ, рувимъ, чудинъ	 distance == 2
CANNOT chose from обсѣсти	 to 	осѣсти, обрѣсти	 distance == 1
CANNOT chose from початие	 to 	платие, почестие	 distance == 2
CANNOT chose from двоиный	 to 	дворный, доиный	 distance == 1
CANNOT chose from дчинь	 to 	чинъ, дчи	 distance == 2
CANNOT chose from траяда	 to 	отрада, троада	 distance == 2
CANNOT chose from обрасти	 to 	обрѣсти, окрасти, обрати	 distance == 1
CANNOT chose from гавафъ	 to 	саваофъ, гаваонъ	 distance == 2
CANNOT chose from сидонский	 to 	идолский, содомский, жидовский	 distance == 2
CANNOT chose from фаустъ	 to 	кустъ, хрустъ	 distance == 2
CANNOT chose from залещи	 to 	зажещи, залечи	 distance == 1
CANNOT chose from облыгати	 to 	отлагати, обливати, облѣчати, облизати, облачати, обличати, обладати, облежати, обругати	 distance == 2
CANNOT chose from вверечи	 to 	ввѣрити, уберечи, стеречи, вврѣщи, беречи	 distance == 2
CANNOT chose from таковъ	 to 	адовъ, таковый, хамовъ, исаковъ, тудковъ, юшковъ	 distance == 2
CANNOT chose from можити	 to 	ложити, пожити, морити, ожити, множити, божити, молити	 distance == 1
CANNOT chose from фриса	 to 	гриба, приспа, орина, фарисъ, риза, ирина, рига, роса	 distance == 2
CANNOT chose from демидъ	 to 	емигъ, дѣмонъ, демиянъ, денисъ, дѣдъ	 distance == 2
CANNOT chose from решетный	 to 	трепетный, бѣшеный, ременный	 distance == 2
CANNOT chose from погнести	 to 	понести, погрести	 distance == 1
CANNOT chose from сѣмець	 to 	нѣмець, сѣчець	 distance == 1
CANNOT chose from обуздати	 to 	обѣдати, обѣзждати, обладати, обездити	 distance == 2
CANNOT chose from брадица	 to 	драница, братина, рудица, срачица, брада, крабица	 distance == 2
CANNOT chose from прояти	 to 	проити, прияти	 distance == 1
CANNOT chose from бывший	 to 	болший, выший	 distance == 2
CANNOT chose from горина	 to 	година, орина, гобина	 distance == 1
CANNOT chose from изѣдь	 to 	зель, снѣдь	 distance == 2
CANNOT chose from волптъ	 to 	волхвъ, волъ, волокъ, полотъ, холстъ, волохъ, волосъ, волкъ	 distance == 2
CANNOT chose from выпущати	 to 	пущати, выкупати, испущати, попущати, вычищати, выпахати, отпущати	 distance == 2
CANNOT chose from демествяникъ	 to 	деместникъ, ремествникъ	 distance == 2
CANNOT chose from люблинъ	 to 	людинъ, блинъ	 distance == 2
CANNOT chose from синаи	 to 	сѣни, сила, сани, вина, спина, дунаи, мина, инди, сараи, синко	 distance == 2
CANNOT chose from взгрѣбати	 to 	вздрѣмати, взгремѣти, отгрѣбати, погребати	 distance == 2
CANNOT chose from сгубити	 to 	срубити, губити	 distance == 1
CANNOT chose from входъ	 to 	ходъ, оходъ	 distance == 1
CANNOT chose from тесати	 to 	ткати, ссати, тщати, тпати	 distance == 2
CANNOT chose from усрѣтовати	 to 	свѣтовати, сѣтовати	 distance == 2
CANNOT chose from пригорѣти	 to 	пригрѣсти, призрѣти	 distance == 2
CANNOT chose from люнфъ	 to 	лютъ, льнъ	 distance == 2
CANNOT chose from горнило	 to 	горница, горло	 distance == 2
CANNOT chose from пристраяти	 to 	пристояти, пристравати, пристати, пристроити	 distance == 2
CANNOT chose from цѣвца	 to 	дѣва, дѣвка, евга, цѣна, овца, дѣвица, цѣлба	 distance == 2
CANNOT chose from стухия	 to 	скуфия, судия, сурия	 distance == 2
CANNOT chose from тщивый	 to 	живый, тщий, лживый, таиный, кривый	 distance == 2
CANNOT chose from скуменъ	 to 	куманъ, игуменъ	 distance == 2
CANNOT chose from похотникъ	 to 	постникъ, плотникъ	 distance == 2
CANNOT chose from ярь	 to 	ямь, ядь, янь, язь	 distance == 1
CANNOT chose from давятъ	 to 	навѣтъ, давыдъ, завѣтъ	 distance == 2
CANNOT chose from порозный	 to 	породный, пороздный	 distance == 1
CANNOT chose from роспросити	 to 	спросити, испросити	 distance == 2
CANNOT chose from кра	 to 	икра, краи	 distance == 1
CANNOT chose from стрещи	 to 	отрещи, острѣщи	 distance == 1
CANNOT chose from зинути	 to 	минути, кинути, ринути	 distance == 1
CANNOT chose from поглядати	 to 	оглядати, поглядѣти	 distance == 1
CANNOT chose from волити	 to 	вялити, валити	 distance == 1
CANNOT chose from измирати	 to 	взирати, измерети, избрати, изимати, изметати, изгарати, умирати, изнимати, избивати, сзирати	 distance == 2
CANNOT chose from лаворъ	 to 	ларъ, лазорь, аверъ	 distance == 2
CANNOT chose from отолстити	 to 	отомстити, оболстити	 distance == 1
CANNOT chose from землець	 to 	нѣмець, зелень	 distance == 2
CANNOT chose from кихание	 to 	писание, кричание, дыхание, зидание, закихание, копание	 distance == 2
CANNOT chose from голско	 to 	молоко, голка, воиско, колчко	 distance == 2
CANNOT chose from сринути	 to 	вринути, скинути, ринути	 distance == 1
CANNOT chose from сдеславъ	 to 	судиславъ, всеславъ	 distance == 2
CANNOT chose from выборъ	 to 	сборъ, боръ, взоръ, воръ	 distance == 2
CANNOT chose from удовный	 to 	дивный, духовный, ровный, кровный, угодный, усобный, удобый, судовый, доиный	 distance == 2
CANNOT chose from скокъ	 to 	скопъ, срокъ, скотъ, сокъ	 distance == 1
CANNOT chose from бещинный	 to 	единный, бесчинный, рѣпинный, мѣзинный	 distance == 2
CANNOT chose from кучковъ	 to 	тудковъ, клековъ	 distance == 2
CANNOT chose from бѣдница	 to 	черница, божница, задница, десница, седмица, пещница, зѣница, темница, сѣнница, блудница, денница	 distance == 2
CANNOT chose from чашный	 to 	банный, частый, разный, варный, пышный, ратный, тошный, равный, черный, чудный, ранный, таиный, зарный, раный	 distance == 2
CANNOT chose from предрещи	 to 	прѣдтещи, прѣдречи	 distance == 1
CANNOT chose from рютие	 to 	прутие, питие, устие, житие, пѣтие, ястие, людие, бытие	 distance == 2
CANNOT chose from запяти	 to 	заяти, напяти, запѣти, заняти	 distance == 1
CANNOT chose from виси	 to 	миди, вои, вина, вино, лисъ, висла, викия, видъ, вѣсъ, весь, вира	 distance == 2
CANNOT chose from бременный	 to 	бревенный, ременный	 distance == 1
CANNOT chose from сыпъ	 to 	сыръ, сынъ	 distance == 1
CANNOT chose from кликъ	 to 	крикъ, ликъ	 distance == 1
CANNOT chose from капилия	 to 	капля, камалия	 distance == 2
CANNOT chose from блазнь	 to 	болѣзнь, сблазнъ	 distance == 2
CANNOT chose from келаревъ	 to 	итларевъ, цѣсаревъ	 distance == 2
CANNOT chose from прѣсна	 to 	пѣна, чрѣсла, трѣска, весна, приспа, пѣснь, десна, плѣснь	 distance == 2
CANNOT chose from овчий	 to 	ловчий, отчий	 distance == 1
CANNOT chose from мравий	 to 	флавий, аравия	 distance == 2
CANNOT chose from вѣдѣние	 to 	видѣние, сѣдѣние	 distance == 1
CANNOT chose from днище	 to 	дѣтище, ужище	 distance == 2
CANNOT chose from испѣти	 to 	успѣти, спѣти	 distance == 1
CANNOT chose from почрети	 to 	пожрѣти, позрѣти, помрѣти	 distance == 1
CANNOT chose from луевъ	 to 	яневъ, алеевъ, ноевъ	 distance == 2
CANNOT chose from алочный	 to 	лычный, плотный, яблочный, точный, лавочный, ложный, ночный, оточный, жалобный	 distance == 2
CANNOT chose from капилие	 to 	насилие, капище	 distance == 2
CANNOT chose from критий	 to 	критъ, куриний	 distance == 2
CANNOT chose from панемъ	 to 	павелъ, снемъ, поземъ	 distance == 2
CANNOT chose from гадаръ	 to 	даръ, адамъ, сахаръ, гадира, базаръ, кафаръ, ударъ, ладанъ, гадъ	 distance == 2
CANNOT chose from меркнути	 to 	смеркнути, мерзнути	 distance == 1
CANNOT chose from прославление	 to 	поставление, прѣставление	 distance == 2
CANNOT chose from тпотъ	 to 	шпотъ, потъ	 distance == 1
CANNOT chose from благолюбивый	 to 	братолюбивый, боголюбивый	 distance == 2
CANNOT chose from надѣвати	 to 	надѣлати, насѣвати, надавати	 distance == 1
CANNOT chose from вбости	 to 	бости, сбости	 distance == 1
CANNOT chose from дустръ	 to 	днѣстръ, истръ, кустъ, дмитръ	 distance == 2
CANNOT chose from поѣсти	 to 	понести, поясти, помести, посѣсти, плести, повѣсти, почести, повести	 distance == 1
CANNOT chose from галѣя	 to 	галуи, шлея, галка	 distance == 2
CANNOT chose from предати	 to 	передати, продати	 distance == 1
CANNOT chose from двренъ	 to 	дубенъ, врѣдъ, вранъ, овенъ	 distance == 2
CANNOT chose from тошманъ	 to 	обманъ, романъ	 distance == 2
CANNOT chose from алвинъ	 to 	навинъ, алтынъ, аршинъ, овинъ, блинъ, алвадъ, аладинъ	 distance == 2
CANNOT chose from премогати	 to 	прѣбѣгати, прѣмолчати	 distance == 2
CANNOT chose from врыти	 to 	рыти, выти, крыти	 distance == 1
CANNOT chose from пощадити	 to 	посадити, пощадѣти, покадити	 distance == 1
CANNOT chose from лѣсти	 to 	лѣзти, сѣсти, ѣсти	 distance == 1
CANNOT chose from коту	 to 	корь, коря, ковъ, рота, ротъ, кожа, кошь, котка, готе, сотъ, китъ, коса, кость, кози, фота, кобъ, потъ, конь, колъ, коло, скотъ, коза, лотъ	 distance == 2
CANNOT chose from бзяница	 to 	божница, пияница, зѣница	 distance == 2
CANNOT chose from воини	 to 	воина, воинъ, воинь	 distance == 1
CANNOT chose from надмение	 to 	затмение, наущение, научение, знамение, неимѣние, падение, камение	 distance == 2
CANNOT chose from преносити	 to 	проносити, переносити	 distance == 1
CANNOT chose from храмати	 to 	пращати, хватати, прашати, дрѣмати, хапати, хрщати, ражати, хранити	 distance == 2
CANNOT chose from вятский	 to 	лядский, вамский, воиский, летский, дѣтский, ямский, сотский	 distance == 2
CANNOT chose from папулъ	 to 	павелъ, падунъ, посулъ, саулъ, парусъ, пепелъ	 distance == 2
CANNOT chose from подвести	 to 	подмести, повести	 distance == 1
CANNOT chose from неродити	 to 	бродити, сердити, родити, городити, породити, вередити, дородити	 distance == 2
CANNOT chose from отобѣдати	 to 	обѣдати, отбѣжати	 distance == 2
CANNOT chose from докладывати	 to 	укладывати, откладывати, складывати	 distance == 2
CANNOT chose from удобный	 to 	усобный, удобый	 distance == 1
CANNOT chose from лѣтный	 to 	лестный, клѣтный	 distance == 1
CANNOT chose from тѣлище	 to 	зелие, дѣтище, тылие, стрѣлище, жилище	 distance == 2
CANNOT chose from средъ	 to 	срѣда, ссѣдъ, слѣдъ, врѣдъ	 distance == 1
CANNOT chose from сартакъ	 to 	салтанъ, каитакъ, баракъ, саадакъ	 distance == 2
CANNOT chose from мафорий	 to 	мамврий, мефодий, макарий	 distance == 2
CANNOT chose from мусия	 to 	масия, мосия	 distance == 1
CANNOT chose from рѣшити	 to 	рушити, грѣшити, тѣшити	 distance == 1
CANNOT chose from гребець	 to 	жеребець, погребець	 distance == 2
CANNOT chose from испрание	 to 	сбрание, спание, избрание, срание	 distance == 2
CANNOT chose from ужский	 to 	лужский, мужский	 distance == 1
CANNOT chose from германий	 to 	германъ, германы	 distance == 2
CANNOT chose from мордовский	 to 	московский, мартовский	 distance == 2
CANNOT chose from спрящи	 to 	напрящи, впрячи, стрѣщи, сврѣщи	 distance == 2
CANNOT chose from лвовъ	 to 	олговъ, лотовъ	 distance == 2
CANNOT chose from прикрашати	 to 	приказати, прикладати	 distance == 2
CANNOT chose from германия	 to 	германъ, германы	 distance == 2
CANNOT chose from сплѣтати	 to 	срѣтати, сплясати, плевати, сметати, лѣтати, исплатати, склевати, счетати, спрятати, сплатити, оплевати	 distance == 2
CANNOT chose from дивие	 to 	питие, ирие, ливия, житие	 distance == 2
CANNOT chose from всаживати	 to 	сваживати, всажати	 distance == 2
CANNOT chose from перфира	 to 	персида, перина	 distance == 2
CANNOT chose from лои	 to 	вои, бои, нои	 distance == 1
CANNOT chose from неслушание	 to 	послушание, ослушание	 distance == 2
CANNOT chose from ровамъ	 to 	ровоамъ, еровамъ	 distance == 1
CANNOT chose from замедлити	 to 	замѣсити, замыслити	 distance == 2
CANNOT chose from миличь	 to 	биричь, кличь	 distance == 2
CANNOT chose from мѣрный	 to 	мѣдный, вѣрный	 distance == 1
CANNOT chose from ия	 to 	имя, шия, лия	 distance == 1
CANNOT chose from греци	 to 	греча, грекъ, ереи, рѣи, грѣхъ	 distance == 2
CANNOT chose from касикъ	 to 	камыкъ, крикъ, косякъ, кусокъ, каинъ, касогъ, казакъ, асиръ	 distance == 2
CANNOT chose from изнарядити	 to 	изрядити, нарядити	 distance == 2
CANNOT chose from плесно	 to 	плесо, плѣснь	 distance == 1
CANNOT chose from посмагъ	 to 	посмѣхъ, поставъ	 distance == 2
CANNOT chose from повестися	 to 	повѣсти, повести	 distance == 2
CANNOT chose from вячий	 to 	вѣчий, вящий	 distance == 1
CANNOT chose from проочищати	 to 	подчищати, прочитати	 distance == 2
CANNOT chose from крестиянъ	 to 	крестиянинъ, крестины	 distance == 2
CANNOT chose from дворский	 to 	тверский, дворецкий	 distance == 2
CANNOT chose from уступити	 to 	ступити, оступити, иступити	 distance == 1
CANNOT chose from роспрати	 to 	роскрыти, попрати, распрѣти, опрати, розбрати, поспати, роптати	 distance == 2
CANNOT chose from овощный	 to 	нощный, водный, мощный	 distance == 2
CANNOT chose from подучивати	 to 	покушивати, подчищати, потчивати, почивати	 distance == 2
CANNOT chose from асафъ	 to 	асатъ, асанъ	 distance == 1
CANNOT chose from вредъ	 to 	уродъ, родъ, видъ, бродъ, иродъ	 distance == 2
CANNOT chose from ананъ	 to 	асанъ, аранъ	 distance == 1
CANNOT chose from посагъ	 to 	пожаръ, пологъ, порогъ, посулъ, поставъ, посохъ, поваръ, постъ, посолъ, просугъ, посѣтъ	 distance == 2
CANNOT chose from томитель	 to 	кормитель, обитель, водитель, гонитель, родитель	 distance == 2
CANNOT chose from разгадати	 to 	разградити, раздавати, разгнати, разглядати	 distance == 2
CANNOT chose from отѣкати	 to 	отсѣкати, отѣхати	 distance == 1
CANNOT chose from взревновати	 to 	ревновати, поревновати	 distance == 2
CANNOT chose from волочи	 to 	толочи, сволочи	 distance == 1
CANNOT chose from немочи	 to 	мочи, помочи	 distance == 2
CANNOT chose from помнѣти	 to 	помнити, помрѣти	 distance == 1
CANNOT chose from акакий	 to 	исакий, макарий	 distance == 2
CANNOT chose from упочити	 to 	почити, опочити	 distance == 1
CANNOT chose from бережати	 to 	бѣжати, держати	 distance == 2
CANNOT chose from позѣвание	 to 	созвание, поливание, познание, почивание	 distance == 2
CANNOT chose from лусий	 to 	иулий, гурий, луеи, русия, лубие, осий	 distance == 2
CANNOT chose from срядити	 to 	рядити, урядити	 distance == 1
CANNOT chose from масльный	 to 	смысльный, сальный, гусльный, кальный, маслинный	 distance == 2
CANNOT chose from теплота	 to 	лѣпота, тѣснота, тепло	 distance == 2
CANNOT chose from покладывати	 to 	укладывати, откладывати, складывати	 distance == 2
CANNOT chose from грезнъ	 to 	грекъ, гречинъ, грѣхъ, рѣзъ	 distance == 2
CANNOT chose from потаеный	 to 	потопный, поганый	 distance == 2
CANNOT chose from немиловати	 to 	помиловати, миловати	 distance == 2
CANNOT chose from зовъ	 to 	ковъ, ловъ, ровъ	 distance == 1
CANNOT chose from вязание	 to 	тяжание, встание, рѣзание, назание, вещание, вздание, вякане	 distance == 2
CANNOT chose from тска	 to 	мска, дска	 distance == 1
CANNOT chose from извинити	 to 	изволити, изринути, изводити, изгонити, повинити, измѣнити, извѣсити, обвинити, винити, звонити, изгнити	 distance == 2
CANNOT chose from надѣление	 to 	наведение, раздѣление	 distance == 2
CANNOT chose from лежание	 to 	метание, тяжание, рѣзание, вещание, дѣлание, сѣдание, желание, блевание, належание	 distance == 2
CANNOT chose from сступъ	 to 	сустугъ, ссудъ, студъ, заступъ, стукъ, сставъ, асупъ, стулъ	 distance == 2
CANNOT chose from фондъ	 to 	понтъ, гонъ, сонъ, годъ, родъ, ходъ, донъ	 distance == 2
CANNOT chose from черпати	 to 	утерпати, держати, терзати, терпѣти, дерзати	 distance == 2
CANNOT chose from раздробити	 to 	раздрѣшити, раздрушити, разграбити	 distance == 2
CANNOT chose from разрачение	 to 	разлучение, разрѣшение	 distance == 2
CANNOT chose from произити	 to 	прибити, прижити	 distance == 2
CANNOT chose from стольникъ	 to 	столикъ, сокольникъ	 distance == 2
CANNOT chose from баскакъ	 to 	башмакъ, баракъ	 distance == 2
CANNOT chose from очертати	 to 	обертѣти, омѣтати, очервити, счетати, одержати	 distance == 2
CANNOT chose from сяковъ	 to 	симовъ, сифовъ, исаковъ, сяковый, юшковъ	 distance == 2
CANNOT chose from курсоръ	 to 	кусокъ, куртокъ, курокъ	 distance == 2
CANNOT chose from постичи	 to 	постити, постричи	 distance == 1
CANNOT chose from синаникъ	 to 	синодикъ, сенадикъ	 distance == 2
CANNOT chose from мохъ	 to 	морхъ, мѣхъ, моръ	 distance == 1
CANNOT chose from потреба	 to 	потѣха, трѣба, погребъ	 distance == 2
CANNOT chose from притечи	 to 	приречи, притещи	 distance == 1
CANNOT chose from неродство	 to 	юродство, уродство	 distance == 2
CANNOT chose from рижский	 to 	римский, ризский	 distance == 1
CANNOT chose from лодия	 to 	лидия, лодя	 distance == 1
CANNOT chose from осла	 to 	сила, оселъ, сула	 distance == 2
CANNOT chose from сжидати	 to 	ожидати, сзидати	 distance == 1
CANNOT chose from взбѣгнути	 to 	вбѣгнути, избѣгнути, выбѣгнути	 distance == 1
CANNOT chose from зобати	 to 	звати, здати, знати	 distance == 2
CANNOT chose from густи	 to 	сути, гнити, бости, цвсти, чути, чисти, грѣти, пасти, уити, гасити, губити, сѣсти, грети, гнати, гуляти, нести, грясти, мясти, мести, ѣсти, сясти, ясти, вести, расти, чести, кусати	 distance == 2
CANNOT chose from сткло	 to 	столъ, стулъ	 distance == 2
CANNOT chose from брягинъ	 to 	бояринъ, брячина	 distance == 2
CANNOT chose from голчити	 to 	ополчити, волочити	 distance == 2
CANNOT chose from извнѣти	 to 	изумѣти, изнести, измлѣти, изгнати, изврѣщи, изодѣти, извлѣщи, извести, изгнити	 distance == 2
CANNOT chose from фрина	 to 	орина, ирина	 distance == 1
CANNOT chose from глубокъ	 to 	глѣбовъ, глубокий	 distance == 2
CANNOT chose from виссъ	 to 	воскъ, лисъ, листъ, висла, власъ, исусъ, видъ, вѣсъ, пискъ	 distance == 2
CANNOT chose from мическъ	 to 	пинескъ, луческъ, мѣнескъ	 distance == 2
CANNOT chose from любь	 to 	либь, любы	 distance == 1
CANNOT chose from лакомый	 to 	каковый, таковый, ласковый	 distance == 2
CANNOT chose from вскипѣти	 to 	вспѣти, кипѣти	 distance == 2
CANNOT chose from лафуръ	 to 	асуръ, ларъ, кафаръ, фуръ	 distance == 2
CANNOT chose from огневъ	 to 	яневъ, осеневъ	 distance == 2
CANNOT chose from опѣшити	 to 	потѣшити, тѣшити	 distance == 2
CANNOT chose from порѣвати	 to 	порѣзати, порвати, повѣвати	 distance == 1
CANNOT chose from мамедъ	 to 	медъ, ламехъ	 distance == 2
CANNOT chose from поскакати	 to 	отскакати, скакати	 distance == 2
CANNOT chose from изблевати	 to 	избивати, избывати	 distance == 2
CANNOT chose from повивати	 to 	покивати, почивати, побивати, повѣвати, поливати	 distance == 1
CANNOT chose from хитати	 to 	витати, питати	 distance == 1
CANNOT chose from мичанинъ	 to 	кличанинъ, лучанинъ, рижанинъ	 distance == 2
CANNOT chose from столець	 to 	стрѣлець, скопець, талець, ставець, старець	 distance == 2
CANNOT chose from погрѣшение	 to 	сгрѣшение, прегрѣшение	 distance == 2
CANNOT chose from мечевый	 to 	медовый, мечный	 distance == 2
CANNOT chose from доволъ	 to 	волъ, дворъ	 distance == 2
CANNOT chose from отлѣсти	 to 	отнести, отмести, отвести	 distance == 1
CANNOT chose from побѣлити	 to 	подѣлити, обѣлити, побѣдити	 distance == 1
CANNOT chose from истергати	 to 	истекати, стегати, истеряти, истерти	 distance == 2
CANNOT chose from удечь	 to 	печь, рѣчь, унець, уметь, день, мечь, углечь	 distance == 2
CANNOT chose from повои	 to 	покои, побои	 distance == 1
CANNOT chose from филонъ	 to 	слонъ, полонъ, лимонъ, симонъ, филипъ, хилокъ, сионъ, никонъ	 distance == 2
CANNOT chose from умедлити	 to 	умолити, умалити, умилити	 distance == 2
CANNOT chose from взмолвити	 to 	намолвити, молвити	 distance == 2
CANNOT chose from сурожець	 to 	муромець, туровець	 distance == 2
CANNOT chose from раздражати	 to 	раздавати, раздрати, раздраждити	 distance == 2
CANNOT chose from акула	 to 	хула, скала, сула, купа, куна	 distance == 2
CANNOT chose from прекрасный	 to 	прѣужасный, прѣмрачный	 distance == 2
CANNOT chose from тарихѣи	 to 	тархи, фарисѣи	 distance == 2
CANNOT chose from нузла	 to 	нужда, уза, хула, нура, нужа, сула, узда	 distance == 2
CANNOT chose from охудѣти	 to 	осудити, обидѣти, одѣти, осѣдѣти, оскудѣти	 distance == 2
CANNOT chose from слина	 to 	спина, длина, глина, слива	 distance == 1
CANNOT chose from подавляти	 to 	подаяти, подавити, подавати, поставляти, попаляти	 distance == 2
CANNOT chose from усунути	 to 	сунути, уснути	 distance == 1
CANNOT chose from ровнина	 to 	конина, мовница	 distance == 2
CANNOT chose from скрежтати	 to 	стрежати, срѣтати	 distance == 2
CANNOT chose from гагина	 to 	година, латина, таина, натина, глина, гадира, галица, гобина	 distance == 2
CANNOT chose from удвоити	 to 	удивити, удавити	 distance == 2
CANNOT chose from чгловъ	 to 	чудовъ, чюдовъ	 distance == 2
CANNOT chose from иулианъ	 to 	иулиянъ, улианъ	 distance == 1
CANNOT chose from перегатити	 to 	перемѣтити, перегнити, переварити	 distance == 2
CANNOT chose from роскладати	 to 	складати, вскладати	 distance == 2
CANNOT chose from григорь	 to 	григорий, игорь	 distance == 2
CANNOT chose from росвѣтъ	 to 	просвѣть, свѣтъ	 distance == 2
CANNOT chose from канъ	 to 	кунъ, каинъ	 distance == 1
CANNOT chose from матѣи	 to 	мати, матфѣи	 distance == 1
CANNOT chose from адоровъ	 to 	адовъ, федоровъ	 distance == 2
CANNOT chose from излупити	 to 	облупити, искупити, изучити, излазити, излити, иступити, изгубити	 distance == 2
CANNOT chose from занести	 to 	завести, нанести	 distance == 1
CANNOT chose from звонение	 to 	изволение, гонение, творение	 distance == 2
CANNOT chose from бивати	 to 	бывати, убивати	 distance == 1
CANNOT chose from неистовъ	 to 	неистовый, христовъ	 distance == 2
CANNOT chose from рождвати	 to 	доживати, дождати, пождати	 distance == 2
CANNOT chose from адский	 to 	лядский, газский, вамский, градский, раиский, людский, лазский, ямский, дикий	 distance == 2
CANNOT chose from сумеонъ	 to 	симеонъ, семеонъ	 distance == 1
CANNOT chose from уристание	 to 	пристанище, блистание	 distance == 2
CANNOT chose from битие	 to 	бите, бытие	 distance == 1
CANNOT chose from страда	 to 	страна, отрада	 distance == 1
CANNOT chose from скрада	 to 	срѣда, страна, смрадъ, ограда, скала, свада, брада, отрада, израда, середа, клада	 distance == 2
CANNOT chose from дхорь	 to 	дверь, дебрь, дворъ	 distance == 2
CANNOT chose from велрѣчие	 to 	велѣние, величие	 distance == 2
CANNOT chose from плева	 to 	пѣна, плесо, дѣва, плече, олена, левъ, плечо, плаха, плѣнь, лѣна, елена, плеть, плита, слеза, плетка, глава, хлѣвъ, слива, плѣщь, племя, слава	 distance == 2
CANNOT chose from сбѣжати	 to 	убѣжати, бѣжати	 distance == 1
CANNOT chose from меотский	 to 	морский, летский, сотский	 distance == 2
CANNOT chose from ниловъ	 to 	симовъ, сифовъ, дировъ, мниховъ	 distance == 2
CANNOT chose from немощи	 to 	смощи, мощи, помощи	 distance == 2
CANNOT chose from нетщета	 to 	нищета, тщета	 distance == 2
CANNOT chose from авлонъ	 to 	слонъ, вавилонъ, антонъ, полонъ, гаваонъ, аронъ, акланъ, заулонъ, звонъ	 distance == 2
CANNOT chose from пола	 to 	поле, полъ	 distance == 1
CANNOT chose from напавание	 to 	нападение, наказание	 distance == 2
CANNOT chose from печальникъ	 to 	начальникъ, пищальникъ	 distance == 2
CANNOT chose from усякивати	 to 	искивати, умыкивати	 distance == 2
CANNOT chose from переняти	 to 	перетяти, перемяти, переяти	 distance == 1
CANNOT chose from преступити	 to 	проступити, переступити	 distance == 1
CANNOT chose from лучникъ	 to 	ученикъ, мученикъ	 distance == 2
CANNOT chose from ксанфъ	 to 	санъ, асанъ	 distance == 2
CANNOT chose from изволяти	 to 	изволити, изваляти	 distance == 1
CANNOT chose from пригрозити	 to 	присрочити, пригвоздити, природити, пригодити, прикроити, приразити, привозити	 distance == 2
CANNOT chose from тщетина	 to 	тщета, фетина	 distance == 2
CANNOT chose from защищати	 to 	затирати, защитити, записати, загибати, заимати, зажигати, запирати, запинати	 distance == 2
